id,profileName,text,date,title,rating,images,helpful,Size name,Colour
R2GDEJJ0P5POYI,Vikas,iOS and that’s enough to describe. ❤️,Reviewed in India 🇮🇳 on 7 September 2022,Expensive but worth it,5,,3,,
R11M4H8JLX1JJG,Amazon Customer,,Reviewed in India 🇮🇳 on 27 August 2022,Beast iPhone !,5,https://m.media-amazon.com/images/I/51SX4RcckTL.jpg,2,256GB,Gold
R11THRFGZNGXTG,Ashish,Good product And seller i will recommended,Reviewed in India 🇮🇳 on 1 September 2022,Good product And seller i will recommended,5,,6,,
R1MO8KU00UD6B8,gurcharan singh, I love I phone 13pro max  Battery life battery 🔋. Very very good,Reviewed in India 🇮🇳 on 5 September 2022,Great I phone ❤️❤️🥰🥰🥰,5,,3,,
R1ZZ6XTIPEHWWR,Ashok sutar,"Product is upto date, For me battery goes 2 days picture and sound quality is awesome",Reviewed in India 🇮🇳 on 25 August 2022,100% original product thank you,5,,6,,
R2M7O7OAGPQYYO,Clive Lewis,"I’ve been a Samsung mobile user from the time the S series started. I absolutely loved the way it was. However, I’ve started after sales service issues with them from the S7 edge and it drove me over the edge to Apple. I cannot be happier with my purchase and move to this phone.",Reviewed in India 🇮🇳 on 31 July 2022,Never thought I would switch,5,,9,,
RB4DUG6VCX4H,tanmay das,Trust me trust me you will not get disappointed specially from the battery that is so good even after one or two hours of gameplay .. although the price is bit high .. afterall wishes don't have any price..it is what it is ..,Reviewed in India 🇮🇳 on 28 July 2022,Apple did it great..,5,,4,128GB,Graphite
R7FIGVUF4VCMK,mohan,"You can not complaint about anything in this phone, whether it is battery life, picture quality and so on, it is just perfect however I feel there is some issue with its network strength though the call quality is great however the singal strength is usually not that good. Rest is amazing",Reviewed in India 🇮🇳 on 26 July 2022,It is just beautiful,5,https://m.media-amazon.com/images/I/51P7ck2N1-L.jpg,5,,
R1R2SEU7C3LGW5,Rakshit Ranjan Singh," Used for a week nowBattery is good 24-28hrsCamera is best but need enough light for a good photoScreensize is good for the pro maxCharging is fast, need to stop some background services and app to save more battery lifeBack tap works on hard case as well just need to tap harderNo finger print but face Id is fine sometimes it doesn’t work due to wrong angle or maybe dim lightWill update soon for more",Reviewed in India 🇮🇳 on 29 July 2022,Being an iPhone it is costly but worthy,5,,12,,
R3NXHHYX42XPL6,Ananda,Excellent phone,Reviewed in India 🇮🇳 on 18 August 2022,Excellent phone,5,,3,,
RXJ0XL5U07392,Abhishek Nitin,No words. Its an amazing phone. Finally bought it. Its little heavy compared to all my previous phones. But it's above all in terms of specs. Will give a detailed review soon.,Reviewed in India 🇮🇳 on 7 August 2022,Sheer Brilliance,5,,6,,
R36D8GGV4FV9UK,vivek ingole,"Initially, I thought It was too much costly but when I got to know its amazing features and build quality, feeling like it's worth taking it.",Reviewed in India 🇮🇳 on 16 August 2022,Worth it :),5,,9,,
RJ8Q79N7UPJZB,Arjun,"Seriously if you already hv a 11 or 12 pro max with you. Please don’t spend 1.3L for this. But if u have iPhone 8 or older, then you gotto have this phone.Excellent battery in iPhoneExcellent camera setupFluidic displayCons I have noticed is the weight and 20W charging capability while android phones have 65 to 80 W charging.",Reviewed in India 🇮🇳 on 24 July 2022,Great buy if you are new to iphone,5,,11,,
RSYYZ232PYVAD,Resham Rana,I like the delivery time and what i purchased it’s worth for money I m loving it,Reviewed in India 🇮🇳 on 10 August 2022,I m very happy with the item I have received there is no any complaints,5,,4,,
R2XYRMSYANHE8F,Sandip Adhav,"This is my first ever Iphone.  I'm android user for 10 years and just switched to this Iphone13pro max. no regrets at all!Better than any Android phone in the market, super build quality and the camera.",Reviewed in India 🇮🇳 on 10 August 2022,Best phone in the market,5,"https://m.media-amazon.com/images/I/6151GohcukL.jpg
https://m.media-amazon.com/images/I/61wFBuu+uWL.jpg",11,,
R1RUNUGRHTEKIW,Vicky,"No words , exceptional",Reviewed in India 🇮🇳 on 12 August 2022,Super se v upper,5,,1,512GB,Gold
R972QSDQZOO8E,ranjeet,"IPhone is like beautiful girlfriend with lot of tantrums but just to show off it’s good, very pricy due to govt tax in India. No lot of freedom like androidBut really impressed with its 4 days battery life",Reviewed in India 🇮🇳 on 5 August 2022,Impressed with battery life,3,,1,,
R7DFBHA4U1UIZ,karthik,Excellent,Reviewed in India 🇮🇳 on 10 August 2022,Packing,5,,0,128GB,Silver
RTCCK364QKOVL,Partha Paul,Call recording not supported,Reviewed in India 🇮🇳 on 25 August 2022,Call recording not suported,3,,2,,
R3Q79GW74J2R0A,HPCL A/C Gourav Singh Rathore," I was using one plus series from last 5 years, this time was confused Galaxy S22 ultra and Apple 13 pro max, Had visitors to store and found except for zoom quality of S22 ultra everything was better in 13 Max pro , Though the price is on quite higher side compare to S22 Ultra however it gives you pleasure of having a classy phone in your hands which was missing in S22.",Reviewed in India 🇮🇳 on 30 July 2022,Classy phone,5,,14,,
R2BUYW7AM9C60Q,Gagan anand,Everything is perfect,Reviewed in India 🇮🇳 on 14 August 2022,Very easy to ise,5,,3,,
R2YQ0MFHAOFFEP,Arindam Dey,Awesome,Reviewed in India 🇮🇳 on 11 August 2022,Awesome,5,,1,,
